business_name,review_count,rating,address,price_range,url
Executive Corporate Living,2,5.0,"3460 Kingsboro Rd Atlanta, GA 30326",0,https://www.yelp.com/biz/executive-corporate-living-atlanta?osq=Apartments
Esquire Apartments,5,4.5,"3102 Buford Hwy NE Atlanta, GA 30329",0,https://www.yelp.com/biz/esquire-apartments-atlanta?osq=Apartments
Camden Brookwood,32,3.5,"147 26th St NW Atlanta, GA 30309",0,https://www.yelp.com/biz/camden-brookwood-atlanta?osq=Apartments
Piedmont House,11,5.0,"205 12th St NE Atlanta, GA 30309",0,https://www.yelp.com/biz/piedmont-house-atlanta?osq=Apartments
Highland Walk,21,4.0,"701 Highland Ave Atlanta, GA 30312",0,https://www.yelp.com/biz/highland-walk-atlanta?osq=Apartments
Telephone Factory Lofts,2,5.0,"828 Ralph McGill Blvd Atlanta, GA 30306",0,https://www.yelp.com/biz/telephone-factory-lofts-atlanta?osq=Apartments
AMLI Ponce Park,30,4.0,"641 North Ave NE Atlanta, GA 30308",0,https://www.yelp.com/biz/amli-ponce-park-atlanta?osq=Apartments
Broadstone Midtown,17,4.0,"811 Juniper St Atlanta, GA 30308",0,https://www.yelp.com/biz/broadstone-midtown-atlanta?osq=Apartments
North High Ridge Apts,2,5.0,"1088 North Ave NE Atlanta, GA 30307",0,https://www.yelp.com/biz/north-high-ridge-apts-atlanta?osq=Apartments
Bass Lofts Apartments,9,3.5,"1080 Euclid Ave NE Atlanta, GA 30307",0,https://www.yelp.com/biz/bass-lofts-apartments-atlanta?osq=Apartments
Atlantic House,10,5.0,"1163 West Peachtree NE Atlanta, GA 30309",0,https://www.yelp.com/biz/atlantic-house-atlanta?osq=Apartments
675 N Highland,2,5.0,"675 N Highland Ave NE Atlanta, GA 30306",0,https://www.yelp.com/biz/675-n-highland-atlanta-2?osq=Apartments
Arizona Lofts,2,4.0,"195 Arizona Ave NE Atlanta, GA 30307",0,https://www.yelp.com/biz/arizona-lofts-atlanta-2?osq=Apartments
Highland Walk,21,4.0,"701 Highland Ave Atlanta, GA 30312",0,https://www.yelp.com/biz/highland-walk-atlanta?osq=Apartments
Telephone Factory Lofts,2,5.0,"828 Ralph McGill Blvd Atlanta, GA 30306",0,https://www.yelp.com/biz/telephone-factory-lofts-atlanta?osq=Apartments
AMLI Ponce Park,30,4.0,"641 North Ave NE Atlanta, GA 30308",0,https://www.yelp.com/biz/amli-ponce-park-atlanta?osq=Apartments
Broadstone Midtown,17,4.0,"811 Juniper St Atlanta, GA 30308",0,https://www.yelp.com/biz/broadstone-midtown-atlanta?osq=Apartments
North High Ridge Apts,2,5.0,"1088 North Ave NE Atlanta, GA 30307",0,https://www.yelp.com/biz/north-high-ridge-apts-atlanta?osq=Apartments
Bass Lofts Apartments,9,3.5,"1080 Euclid Ave NE Atlanta, GA 30307",0,https://www.yelp.com/biz/bass-lofts-apartments-atlanta?osq=Apartments
Atlantic House,10,5.0,"1163 West Peachtree NE Atlanta, GA 30309",0,https://www.yelp.com/biz/atlantic-house-atlanta?osq=Apartments
675 N Highland,2,5.0,"675 N Highland Ave NE Atlanta, GA 30306",0,https://www.yelp.com/biz/675-n-highland-atlanta-2?osq=Apartments
Arizona Lofts,2,4.0,"195 Arizona Ave NE Atlanta, GA 30307",0,https://www.yelp.com/biz/arizona-lofts-atlanta-2?osq=Apartments
